"filename", "language", "JavaScript", "Vue.js", "Markdown", "CSS", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalSolveEvent.vue", "Vue.js", 0, 149, 0, 0, 0, 0, 0, 1, 14, 164
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalUnassign.vue", "Vue.js", 0, 188, 0, 0, 0, 0, 0, 0, 14, 202
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalUnregisterDevice.vue", "Vue.js", 0, 149, 0, 0, 0, 0, 0, 9, 14, 172
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalUserDetails.vue", "Vue.js", 0, 196, 0, 0, 0, 0, 0, 8, 14, 218
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\Sidebar.vue", "Vue.js", 0, 547, 0, 0, 0, 0, 0, 19, 30, 596
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\main.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 7, 31
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\router\index.js", "JavaScript", 282, 0, 0, 0, 0, 0, 0, 5, 5, 292
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\store\modules\auth\actions.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 6, 15, 128
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\store\modules\auth\getters.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 5, 2, 48
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\store\modules\auth\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\store\modules\auth\mutations.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 5, 7, 36
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\store\store.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 5, 4, 34
